study_id,community_id,comm_metric_name,comm_metric_value
Leary and Petchey 2009,community-1,cv,0.4633952543057386
Leary and Petchey 2009,community-1,cov,4.104023101930036e-4
Leary and Petchey 2009,community-1,cor,0.7152403088748726
Leary and Petchey 2009,community-1,eve,0.7642406787950846
Leary and Petchey 2009,community-1,var,0.002485574370090268
Leary and Petchey 2009,community-1,total_biomass,0.06204327850910347
Leary and Petchey 2009,community-3,cv,0.44976775622736204
Leary and Petchey 2009,community-3,cov,-4.3970257507782344e-5
Leary and Petchey 2009,community-3,cor,-0.6531012264425847
Leary and Petchey 2009,community-3,eve,0.5091195330533834
Leary and Petchey 2009,community-3,var,0.00443114801289969
Leary and Petchey 2009,community-3,total_biomass,0.07326338419739366
Leary and Petchey 2009,community-4,cv,0.24809101638750197
Leary and Petchey 2009,community-4,cov,4.541969075163437e-6
Leary and Petchey 2009,community-4,cor,0.05947388821205272
Leary and Petchey 2009,community-4,eve,0.8350859141553203
Leary and Petchey 2009,community-4,var,1.627022744698041e-4
Leary and Petchey 2009,community-4,total_biomass,0.026415152264973433
Leary and Petchey 2009,community-5,cv,0.3938703163060286
Leary and Petchey 2009,community-5,cov,9.478446979083435e-6
Leary and Petchey 2009,community-5,cor,0.5429101965403307
Leary and Petchey 2009,community-5,eve,0.6546354639013603
Leary and Petchey 2009,community-5,var,1.7163281200606526e-4
Leary and Petchey 2009,community-5,total_biomass,0.017525340819091385
Leary and Petchey 2009,community-6,cv,0.3684415083852609
Leary and Petchey 2009,community-6,cov,-2.2788557143295902e-6
Leary and Petchey 2009,community-6,cor,-0.34408592420847744
Leary and Petchey 2009,community-6,eve,0.5385523916459978
Leary and Petchey 2009,community-6,var,5.349943095587207e-5
Leary and Petchey 2009,community-6,total_biomass,0.00949382155824018
Leary and Petchey 2009,community-7,cv,0.4800933555531507
Leary and Petchey 2009,community-7,cov,2.128680268799416e-4
Leary and Petchey 2009,community-7,cor,0.6724504589856695
Leary and Petchey 2009,community-7,eve,0.7161255434780798
Leary and Petchey 2009,community-7,var,0.003452058996129372
Leary and Petchey 2009,community-7,total_biomass,0.06485399516958017
Leary and Petchey 2009,community-9,cv,0.45561797210282323
Leary and Petchey 2009,community-9,cov,-4.039876887860123e-5
Leary and Petchey 2009,community-9,cor,-0.6590533478826395
Leary and Petchey 2009,community-9,eve,0.5087883758983268
Leary and Petchey 2009,community-9,var,0.004533185056759713
Leary and Petchey 2009,community-9,total_biomass,0.07322605474113249
Leary and Petchey 2009,community-10,cv,0.35653953239662783
Leary and Petchey 2009,community-10,cov,1.2777967133705611e-5
Leary and Petchey 2009,community-10,cor,0.18853748152993804
Leary and Petchey 2009,community-10,eve,0.7249705985039123
Leary and Petchey 2009,community-10,var,4.413171892838285e-4
Leary and Petchey 2009,community-10,total_biomass,0.030301334145736967
Leary and Petchey 2009,community-11,cv,0.39328301007816824
Leary and Petchey 2009,community-11,cov,5.774006895096576e-6
Leary and Petchey 2009,community-11,cor,0.07439575764783103
Leary and Petchey 2009,community-11,eve,0.5905860591736013
Leary and Petchey 2009,community-11,var,5.875649213346455e-4
Leary and Petchey 2009,community-11,total_biomass,0.031118536737054912
Leary and Petchey 2009,community-12,cv,0.2383384725595159
Leary and Petchey 2009,community-12,cov,-1.136203862706529e-6
Leary and Petchey 2009,community-12,cor,-0.27100206286609496
Leary and Petchey 2009,community-12,eve,0.5301629021387357
Leary and Petchey 2009,community-12,var,2.392695335897835e-5
Leary and Petchey 2009,community-12,total_biomass,0.00976226045531349
Leary and Petchey 2009,community-13,cv,0.47191153428290605
Leary and Petchey 2009,community-13,cov,5.772398739224758e-4
Leary and Petchey 2009,community-13,cor,0.7354523197376518
Leary and Petchey 2009,community-13,eve,0.7468285419908965
Leary and Petchey 2009,community-13,var,0.003214042094830066
Leary and Petchey 2009,community-13,total_biomass,0.0700287973140917
Leary and Petchey 2009,community-15,cv,0.5016406164787701
Leary and Petchey 2009,community-15,cov,-2.9434117546046874e-5
Leary and Petchey 2009,community-15,cor,-0.5508452901016202
Leary and Petchey 2009,community-15,eve,0.5089372121698662
Leary and Petchey 2009,community-15,var,0.0038980169111529667
Leary and Petchey 2009,community-15,total_biomass,0.06175822095805551
Leary and Petchey 2009,community-16,cv,0.3266814058240876
Leary and Petchey 2009,community-16,cov,3.4100211802311525e-6
Leary and Petchey 2009,community-16,cor,0.05446776282345517
Leary and Petchey 2009,community-16,eve,0.8561064713848504
Leary and Petchey 2009,community-16,var,2.1957131848801062e-4
Leary and Petchey 2009,community-16,total_biomass,0.023029022999309878
Leary and Petchey 2009,community-17,cv,0.43334712091892397
Leary and Petchey 2009,community-17,cov,8.343702706495422e-6
Leary and Petchey 2009,community-17,cor,0.17735980782919794
Leary and Petchey 2009,community-17,eve,0.6302431396259561
Leary and Petchey 2009,community-17,var,3.841438089827668e-4
Leary and Petchey 2009,community-17,total_biomass,0.02310015298250707
Leary and Petchey 2009,community-18,cv,0.3144409318464043
Leary and Petchey 2009,community-18,cov,6.027999618664759e-7
Leary and Petchey 2009,community-18,cor,0.07063437343643517
Leary and Petchey 2009,community-18,eve,0.5436766980302757
Leary and Petchey 2009,community-18,var,2.5929951903716877e-5
Leary and Petchey 2009,community-18,total_biomass,0.00828324026195588
Leary and Petchey 2009,community-19,cv,0.503073329315476
Leary and Petchey 2009,community-19,cov,5.304266343104574e-5
Leary and Petchey 2009,community-19,cor,0.1861281720912491
Leary and Petchey 2009,community-19,eve,0.786307357030306
Leary and Petchey 2009,community-19,var,0.0017366272788936184
Leary and Petchey 2009,community-19,total_biomass,0.04266458387529241
Leary and Petchey 2009,community-21,cv,0.3538894968072703
Leary and Petchey 2009,community-21,cov,-1.780880803797811e-5
Leary and Petchey 2009,community-21,cor,-0.5191190263324741
Leary and Petchey 2009,community-21,eve,0.5063398055497859
Leary and Petchey 2009,community-21,var,0.0016857321544016945
Leary and Petchey 2009,community-21,total_biomass,0.05739305946421603
Leary and Petchey 2009,community-22,cv,0.726992318655593
Leary and Petchey 2009,community-22,cov,1.359267493696707e-4
Leary and Petchey 2009,community-22,cor,0.31041945513884517
Leary and Petchey 2009,community-22,eve,0.8664512129500811
Leary and Petchey 2009,community-22,var,0.0010709428464136625
Leary and Petchey 2009,community-22,total_biomass,0.025202594823454588
Leary and Petchey 2009,community-23,cv,0.3945030626056943
Leary and Petchey 2009,community-23,cov,1.5546033532293465e-5
Leary and Petchey 2009,community-23,cor,0.33036930517969365
Leary and Petchey 2009,community-23,eve,0.6108834051420686
Leary and Petchey 2009,community-23,var,3.4505721097038186e-4
Leary and Petchey 2009,community-23,total_biomass,0.024581011023097926
Leary and Petchey 2009,community-24,cv,0.48461011014934097
Leary and Petchey 2009,community-24,cov,2.5730140768653255e-6
Leary and Petchey 2009,community-24,cor,0.10314965388565439
Leary and Petchey 2009,community-24,eve,0.5390789460010654
Leary and Petchey 2009,community-24,var,1.9618523833842076e-4
Leary and Petchey 2009,community-24,total_biomass,0.014639732684418472
Leary and Petchey 2009,community-25,cv,0.3632290725518681
Leary and Petchey 2009,community-25,cov,3.361843285856308e-4
Leary and Petchey 2009,community-25,cor,0.5920511886402152
Leary and Petchey 2009,community-25,eve,0.8186876713173158
Leary and Petchey 2009,community-25,var,0.001548336003494756
Leary and Petchey 2009,community-25,total_biomass,0.06486864174727734
Leary and Petchey 2009,community-27,cv,0.4274816826772593
Leary and Petchey 2009,community-27,cov,-7.036570691921314e-5
Leary and Petchey 2009,community-27,cor,-0.6406316511666522
Leary and Petchey 2009,community-27,eve,0.5154793708453225
Leary and Petchey 2009,community-27,var,0.00369645060654219
Leary and Petchey 2009,community-27,total_biomass,0.06974550482485598
Leary and Petchey 2009,community-28,cv,0.19672581412513368
Leary and Petchey 2009,community-28,cov,-3.34754697145969e-5
Leary and Petchey 2009,community-28,cor,-0.4013650996974168
Leary and Petchey 2009,community-28,eve,0.8574130213498914
Leary and Petchey 2009,community-28,var,1.6707496116390776e-4
Leary and Petchey 2009,community-28,total_biomass,0.02543184078244161
Leary and Petchey 2009,community-29,cv,0.37397663033661893
Leary and Petchey 2009,community-29,cov,7.833572158733172e-6
Leary and Petchey 2009,community-29,cor,0.25758811128371173
Leary and Petchey 2009,community-29,eve,0.6457565576610432
Leary and Petchey 2009,community-29,var,1.6729021677664056e-4
Leary and Petchey 2009,community-29,total_biomass,0.018084249241954068
Leary and Petchey 2009,community-30,cv,0.3420987765380549
Leary and Petchey 2009,community-30,cov,-4.240444337416531e-6
Leary and Petchey 2009,community-30,cor,-0.30768397863255903
Leary and Petchey 2009,community-30,eve,0.5904999018491631
Leary and Petchey 2009,community-30,var,4.547921083639848e-5
Leary and Petchey 2009,community-30,total_biomass,0.008890158381768236
Leary and Petchey 2009,community-31,cv,0.4021859662854176
Leary and Petchey 2009,community-31,cov,3.278735104958346e-4
Leary and Petchey 2009,community-31,cor,0.5132568762764028
Leary and Petchey 2009,community-31,eve,0.768532843260208
Leary and Petchey 2009,community-31,var,0.0023363565126240248
Leary and Petchey 2009,community-31,total_biomass,0.06800352112321119
Leary and Petchey 2009,community-33,cv,0.5249529777780202
Leary and Petchey 2009,community-33,cov,-1.9556359159322163e-5
Leary and Petchey 2009,community-33,cor,-0.5060446373884545
Leary and Petchey 2009,community-33,eve,0.5121057386776201
Leary and Petchey 2009,community-33,var,0.002250706932005837
Leary and Petchey 2009,community-33,total_biomass,0.044792192739902134
Leary and Petchey 2009,community-34,cv,0.26457260239531055
Leary and Petchey 2009,community-34,cov,-5.0753875694739236e-5
Leary and Petchey 2009,community-34,cor,-0.4845072876932842
Leary and Petchey 2009,community-34,eve,0.853434223333547
Leary and Petchey 2009,community-34,var,2.4849633571636217e-4
Leary and Petchey 2009,community-34,total_biomass,0.022912207763868046
Leary and Petchey 2009,community-35,cv,0.4977077509265653
Leary and Petchey 2009,community-35,cov,3.6281540791016406e-5
Leary and Petchey 2009,community-35,cor,0.4711963763264254
Leary and Petchey 2009,community-35,eve,0.6219136578868564
Leary and Petchey 2009,community-35,var,5.770833168554601e-4
Leary and Petchey 2009,community-35,total_biomass,0.025605550526340132
Leary and Petchey 2009,community-36,cv,0.43011040865855504
Leary and Petchey 2009,community-36,cov,-1.7008089028479645e-6
Leary and Petchey 2009,community-36,cor,-0.09858896313609453
Leary and Petchey 2009,community-36,eve,0.5473947878641021
Leary and Petchey 2009,community-36,var,9.966353409485493e-5
Leary and Petchey 2009,community-36,total_biomass,0.011405578113429625
Leary and Petchey 2009,community-37,cv,0.32561452964843274
Leary and Petchey 2009,community-37,cov,5.914528607572557e-5
Leary and Petchey 2009,community-37,cor,0.21388541305528627
Leary and Petchey 2009,community-37,eve,0.8413854051350378
Leary and Petchey 2009,community-37,var,7.287772409197064e-4
Leary and Petchey 2009,community-37,total_biomass,0.04469153982803937
Leary and Petchey 2009,community-39,cv,0.45568595309016957
Leary and Petchey 2009,community-39,cov,-4.3634301876389e-5
Leary and Petchey 2009,community-39,cor,-0.6801265337172004
Leary and Petchey 2009,community-39,eve,0.5119865205607377
Leary and Petchey 2009,community-39,var,0.003964462717722614
Leary and Petchey 2009,community-39,total_biomass,0.06832240342409464
Leary and Petchey 2009,community-40,cv,0.28169388286727015
Leary and Petchey 2009,community-40,cov,-4.3426960021139076e-5
Leary and Petchey 2009,community-40,cor,-0.1761467153811871
Leary and Petchey 2009,community-40,eve,0.8161748055334782
Leary and Petchey 2009,community-40,var,6.526907745124113e-4
Leary and Petchey 2009,community-40,total_biomass,0.04222194187968859
Leary and Petchey 2009,community-41,cv,0.7684220340705823
Leary and Petchey 2009,community-41,cov,7.689230207443958e-5
Leary and Petchey 2009,community-41,cor,0.7900533436480542
Leary and Petchey 2009,community-41,eve,0.6851444301746499
Leary and Petchey 2009,community-41,var,3.9368094880346574e-4
Leary and Petchey 2009,community-41,total_biomass,0.015224694748608941
Leary and Petchey 2009,community-42,cv,0.29685654523187066
Leary and Petchey 2009,community-42,cov,-9.439725298133316e-6
Leary and Petchey 2009,community-42,cor,-0.5086842352807993
Leary and Petchey 2009,community-42,eve,0.5554169827288302
Leary and Petchey 2009,community-42,var,9.762649408232139e-5
Leary and Petchey 2009,community-42,total_biomass,0.014946534336080163
Leary and Petchey 2009,community-43,cv,0.3346603630446977
Leary and Petchey 2009,community-43,cov,2.295823649882458e-4
Leary and Petchey 2009,community-43,cor,0.4939230552255684
Leary and Petchey 2009,community-43,eve,0.9481770698531927
Leary and Petchey 2009,community-43,var,9.384079922709011e-4
Leary and Petchey 2009,community-43,total_biomass,0.05585382683657378
Leary and Petchey 2009,community-45,cv,0.45784802047175077
Leary and Petchey 2009,community-45,cov,-6.905737673805462e-5
Leary and Petchey 2009,community-45,cor,-0.5296437400157177
Leary and Petchey 2009,community-45,eve,0.5214433497941455
Leary and Petchey 2009,community-45,var,0.002981718055906654
Leary and Petchey 2009,community-45,total_biomass,0.0582348777973788
Leary and Petchey 2009,community-46,cv,0.24524020351966017
Leary and Petchey 2009,community-46,cov,-8.486316851318891e-5
Leary and Petchey 2009,community-46,cor,-0.7311144331800422
Leary and Petchey 2009,community-46,eve,0.8007098220391436
Leary and Petchey 2009,community-46,var,2.647876048492137e-4
Leary and Petchey 2009,community-46,total_biomass,0.0198783410535726
Leary and Petchey 2009,community-47,cv,0.6840551101367878
Leary and Petchey 2009,community-47,cov,6.538407776337324e-5
Leary and Petchey 2009,community-47,cor,0.6160525973185629
Leary and Petchey 2009,community-47,eve,0.6436596894730238
Leary and Petchey 2009,community-47,var,5.957484375437953e-4
Leary and Petchey 2009,community-47,total_biomass,0.019701608357305757
Leary and Petchey 2009,community-48,cv,0.3526005994765405
Leary and Petchey 2009,community-48,cov,4.949722785786536e-6
Leary and Petchey 2009,community-48,cor,0.32825855869700116
Leary and Petchey 2009,community-48,eve,0.5686551085435094
Leary and Petchey 2009,community-48,var,3.267446498257772e-5
Leary and Petchey 2009,community-48,total_biomass,0.009252492243636515
Leary and Petchey 2009,community-49,cv,0.34541631010549073
Leary and Petchey 2009,community-49,cov,5.98627961989863e-7
Leary and Petchey 2009,community-49,cor,9.180937360998756e-4
Leary and Petchey 2009,community-49,eve,0.8606087027800502
Leary and Petchey 2009,community-49,var,0.0013135999591371112
Leary and Petchey 2009,community-49,total_biomass,0.05248758023852554
Leary and Petchey 2009,community-51,cv,0.45160379999512706
Leary and Petchey 2009,community-51,cov,-1.729147323064078e-4
Leary and Petchey 2009,community-51,cor,-0.75379597190482
Leary and Petchey 2009,community-51,eve,0.5348251257047474
Leary and Petchey 2009,community-51,var,0.006054731442283751
Leary and Petchey 2009,community-51,total_biomass,0.08365438481767426
Leary and Petchey 2009,community-52,cv,0.5268039573201008
Leary and Petchey 2009,community-52,cov,-4.0813968386664643e-5
Leary and Petchey 2009,community-52,cor,-0.2367471140290852
Leary and Petchey 2009,community-52,eve,0.7021827130287173
Leary and Petchey 2009,community-52,var,5.607299125380421e-4
Leary and Petchey 2009,community-52,total_biomass,0.02077470935432569
Leary and Petchey 2009,community-53,cv,0.38805073926499
Leary and Petchey 2009,community-53,cov,3.137486562903015e-5
Leary and Petchey 2009,community-53,cor,0.5408535846210568
Leary and Petchey 2009,community-53,eve,0.6614945409966247
Leary and Petchey 2009,community-53,var,1.5567883023421265e-4
Leary and Petchey 2009,community-53,total_biomass,0.01904303659615755
Leary and Petchey 2009,community-54,cv,0.40492249332496416
Leary and Petchey 2009,community-54,cov,-2.7982186171571075e-6
Leary and Petchey 2009,community-54,cor,-0.10534494688635086
Leary and Petchey 2009,community-54,eve,0.5443506871800652
Leary and Petchey 2009,community-54,var,1.5222922025051312e-4
Leary and Petchey 2009,community-54,total_biomass,0.014952494131622158
